Timestamp,Tables,Kitchen Queue,Completed Orders,Waiting Queue,Ingredients,Waiters
2025-06-10 21:07:24,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Occupied (Group 1);Table 4 (size 4): Free;","Pizza(Group 1) Pizza(Group 1) Pasta(Group 1) Salad(Group 1) ","","","cheese:6;dough:5;lettuce:9;meat:6;noodles:8;salt:13;sauce:12;tomato:9;","2 active"
2025-06-10 21:07:25,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Occupied (Group 1);Table 4 (size 4): Free;","Pizza(Group 1) Pizza(Group 1) Pasta(Group 1) Salad(Group 1) ","","","cheese:6;dough:5;lettuce:9;meat:6;noodles:8;salt:13;sauce:12;tomato:9;","2 active"
2025-06-10 21:07:26,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","Pizza(Group 1) Pasta(Group 1) Salad(Group 1) ","","","cheese:5;dough:4;lettuce:9;meat:6;noodles:8;salt:13;sauce:11;tomato:9;","2 active"
2025-06-10 21:07:27,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","Pizza(Group 1) Pasta(Group 1) Salad(Group 1) ","","","cheese:5;dough:4;lettuce:9;meat:6;noodles:8;salt:13;sauce:11;tomato:9;","2 active"
2025-06-10 21:07:28,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Free;Table 4 (size 4): Free;","Pasta(Group 1) Salad(Group 1) ","","","cheese:4;dough:3;lettuce:9;meat:6;noodles:8;salt:13;sauce:10;tomato:9;","2 active"
2025-06-10 21:07:29,"Table 1 (size 2): Free;Table 2 (size 4): Occupied (Group 2);Table 3 (size 6): Free;Table 4 (size 4): Free;","Pasta(Group 1) Salad(Group 1) Salad(Group 2) Pasta(Group 2) Pasta(Group 2) Pasta(Group 2) ","","","cheese:4;dough:3;lettuce:9;meat:6;noodles:8;salt:13;sauce:10;tomato:9;","2 active"
2025-06-10 21:07:30,"Table 1 (size 2): Free;Table 2 (size 4): Occupied (Group 2);Table 3 (size 6): Occupied (Group 3);Table 4 (size 4): Free;","Salad(Group 1) Salad(Group 2) Pasta(Group 2) Pasta(Group 2) Pasta(Group 2) Salad(Group 3) Pasta(Group 3) Pasta(Group 3) ","","","cheese:4;dough:3;lettuce:9;meat:6;noodles:7;salt:13;sauce:9;tomato:9;","2 active"
2025-06-10 21:07:31,"Table 1 (size 2): Free;Table 2 (size 4): Occupied (Group 2);Table 3 (size 6): Occupied (Group 3);Table 4 (size 4): Free;","Pasta(Group 2) Pasta(Group 2) Pasta(Group 2) Salad(Group 3) Pasta(Group 3) Pasta(Group 3) ","Salad(Group 1) Salad(Group 1) ","","cheese:4;dough:3;lettuce:7;meat:6;noodles:7;salt:13;sauce:9;tomato:7;","2 active"
2025-06-10 21:07:32,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Occupied (Group 3);Table 4 (size 4): Free;","Pasta(Group 2) Pasta(Group 2) Salad(Group 3) Pasta(Group 3) Pasta(Group 3) ","","","cheese:4;dough:3;lettuce:7;meat:6;noodles:6;salt:13;sauce:8;tomato:7;","2 active"
2025-06-10 21:07:33,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Occupied (Group 3);Table 4 (size 4): Free;","Pasta(Group 2) Salad(Group 3) Pasta(Group 3) Pasta(Group 3) ","","","cheese:4;dough:3;lettuce:7;meat:6;noodles:5;salt:13;sauce:7;tomato:7;","2 active"
2025-06-10 21:07:34,"Table 1 (size 2): Free;Table 2 (size 4): Free;Table 3 (size 6): Occupied (Group 3);Table 4 (size 4): Free;","Salad(Group 3) Pasta(Group 3) Pasta(Group 3) ","","Group 4(size 5) ","cheese:7;dough:6;lettuce:10;meat:9;noodles:7;salt:16;sauce:9;tomato:10;","2 active"
